anything	1.8571
anyway	1.7143
anyways	1.6667
anywhere	1.625
apart	2.1111
apartment	2.1429
apartments	1.9
apologize	2.3333
apologizes	2.6667
apologizing	2.1111
apparatus	1.8
apparent	1.875
apparently	1.875
appeal	2.3333
appealed	2.25
appealing	2.7778
appeals	2.1429
appear	1.8
appearance	2.1429
appearances	1.8
appeared	1.6
appearing	2.2
appears	1.625
appendix	1.4
appetite	2.25
appetizer	2
applause	2.8889
applicable	1.3333
applicants	2.1667
application	1.875
applications	2.3333
applied	1.6667
applies	1.6
apply	2.0833
applying	2
appointment	2
appreciate	2.1111
appreciated	1.8333
appreciation	1.75
apprehension	2.1667
apprehensive	1.7778
apprentice	1.8571
approach	2.1111
approached	1.8333
approaches	2
approaching	2
appropriate	1.7
appropriated	1.5714
approval	2.3333
approve	2.2727
approved	2.1429
approving	2
approximate	1.6667
approximately	1.4286
april	2.1818
apt	1.7143
arbitrary	2.2222
arc	1.5714
arcane	1.6667
arch	1.2
archaeology	1.8889
arched	1.6667
architect	1.7143
architecture	1.8333
ardent	2.1111
are	1.6667
area	1.375
areas	1.4286
aren*t	1.3333
argue	3
argued	2.875
argues	2.8889
arguing	2.8571
argument	2.625
arguments	2.5714
arise	2
arises	1.8333
arising	1.8333
ark	1.4545
arm	1.8571
armed	1.875
armies	2.2
arms	2
army	2.1429
arose	2
around	2
aroused	2.75
arrange	2.125
arranged	1.8333
arrangement	2
arrangements	1.8571
arranging	2.375
array	2.1
arrest	2.9
arrested	3
arrival	1.75
arrive	1.8
arriving	2.5
arrogant	2.6667
arrow	1.6667
art	1.8333
arteries	1.8571
artery	1.8889
article	1.625
articles	1.6667
artificial	1.5714
artillery	2.1
artist	2.5
artistic	2.6667
artists	2.625
arts	1.9
as	1.5
ascent	2.125
ash	1.2222
ashamed	2.375
asian	1.6667
aside	1.5714
ask	1.8
asked	1.7143
asking	1.6
asks	1.8
asleep	1.5
aspect	1.5714
aspects	1.2
aspirations	2.375
aspiring	2.1667
assassin	2.7778
assault	2.8571
assembled	1.6667
assemblies	2
assembly	2
assert	2.6667
asserted	2.2
assertive	2.8333
assessing	2
assessment	2.1667
assessors	2.1111
assets	2
assign	1.8571
assigned	1.8333
assignment	2
assignments	2
assist	2.1111
assistance	1.8333
assistant	1.5556
assistants	1.8333
associate	1.6
associated	1.5714
associates	1.5
association	1.6364
associations	1.5714
assume	2
assumed	1.6667
assuming	1.7143
assumption	2
assumptions	1.7143
assurance	2.2222
assure	1.8571
assured	1.6667
assuring	1.8
astronomy	1.7778
at	1.5
ate	2
athletic	2.5
atlantic	1.7778
atlas	1.6667
atmosphere	1.5
atom	2
atoms	2.1667
attach	1.875
attache	1.5
attached	1.6667
attack	2.5714
attacked	2.8571
attacks	2.8571
attain	2.3333
attempt	2.1667
attempted	2
attempting	2.3
attempts	2.1429
attend	1.75
attendance	1.6667
attendant	1.7778
attended	2
attending	1.7778
attention	2.3333
attic	1.25
attitude	2.125
attitudes	2.5
attorney	2.3333
attract	2.8571
attracted	2.4444
attraction	2.9
attractive	2.5
attributed	1.6
attributes	1.75
audience	2.6
audiences	2
auditorium	2
august	1.8333
aunt	1.6667
aura	1.7143
auspicious	2
authentic	1.4286
author	1.5455
authorities	2.4444
authority	2.1667
authorized	2.125
authors	1.625
auto	2.1111
automatic	2
automatically	1.8889
automobile	2.3
automobiles	2.1818
autonomy	1.7
autumn	1.3636
availability	1.8889
available	1.875
avenue	1.3333
average	1.2857
averaged	1.7143
averages	1.5833
avert	1.6667
avocado	1
avoid	1.7
avoided	2.125
avoiding	2
awake	2.5556
award	1.75
awarded	2.3
awards	1.625
aware	2.5
awareness	2.4286
away	1.6429
awful	1.7778
awfully	1.75
awkward	1.8182
awoke	2.125
axis	1.3333
aye	1.25
babies	2.3636
baby	2.3333
babysit	2.3636
babysitter	1.625
babysitting	2.3333
back	1.375
backed	1.6667
background	1.2222
backs	1.5
backward	1.4615
bacon	1.5556
bacterial	1.625
bad	2.1111
badger	2.1111
badgers	2.4615
badly	1.6667
bag	1.1818
bags	1.2222
baiting	1.75
bake	2.4286
baker	2.1818
balance	1.625
balanced	1.8889
ball	2
ballet	2.3636
ballistic	2.7273
balloon	1.9
ballot	1.5556
balls	1.875
baloney	1.5
bananas	1.3
band	1.7273
bandied	1.5556
bands	1.9
bank	1.7778
bankers	1.875
banks	1.625
baptist	1.375
baptized	2.0833
bar	2.1111
barbecue	2.6
barbed	2.0833
bare	1.2727
barely	1.4
bargaining	2.6364
barged	2.0909
bark	2
barked	2.3
barn	1.375
barometer	1.625
baroque	1.4444
barrel	1.5455
barriers	1.75
bars	1.8333
base	1.2857
baseball	2.3333
based	1.1429
basement	1.3333
bases	1.5
basic	1.25
basically	1.375
basics	1.125
basis	1.2727
basket	1.4444
bass	1.6364
bastard	2.2222
bastards	2.0833
bat	1.75
bath	1.375
bathing	2.1818
bathroom	1.5833
baton	1.3333
battery	1.8
batting	2.5
battle	2.7
battlements	2.3636
bawling	2.4444
bay	1.125
be	1.3333
beach	1.7143
beached	1.8571
beaches	1.5455
beam	1.5556
beamed	1.7143
beams	1.9
bear	2
beard	1.2727
bearded	1.4444
bearing	1.5
bears	1.7778
beat	2.125
beaten	2.125
beating	2.4286
beautiful	1.6429
beautifully	1.3333
beauty	1.875
beavers	2.4545
became	1.75
because	1.4444
become	1.625
becomes	2.0909
becoming	2.1111
bed	1.7
bedroom	1.5
beds	1.5833
bee	1.875
beef	1.5
been	1.4444
beer	1.5
beers	1.8462
bees	1.8889
before	1.25
