approach	1.6
approached	1.8
approaches	2
approaching	2
appropriate	1
appropriated	1
approval	1.6
approve	2
approved	1.8
approving	1.8
approximate	1.4
approximately	1.4
april	3
apt	1
arbitrary	1.2
arc	2.4
arcane	1
arch	3
archaeology	2
arched	2.8
architect	2.6
architecture	2.4
ardent	1
are	1
area	2
areas	2
aren*t	1
argue	1.4
argued	1.6
argues	1.8
arguing	2
argument	1.6
arguments	1.8
arise	1.6
arises	2
arising	2
ark	2.2
arm	3
armed	2
armies	2.8
arms	2.6
army	2.6
arose	1.4
around	1.6
aroused	2.6
arrange	1.4
arranged	1.6
arrangement	2.4
arrangements	2
arranging	2
array	1
arrest	3
arrested	2.4
arrival	2.4
arrive	2
arriving	2.2
arrogant	1.4
arrow	3
art	2.8
arteries	2.2
artery	1.8
article	2.6
articles	2.2
artificial	1.4
artillery	2.2
artist	2.8
artistic	1.6
artists	2.6
arts	2.8
as	1
ascent	1.2
ash	2.6
ashamed	1.6
asian	2.6
aside	1.6
ask	1.4
asked	1.4
asking	1.4
asks	1.4
asleep	2.8
aspect	1.2
aspects	1.2
aspirations	1.6
aspiring	1.4
assassin	2.8
assault	2.6
assembled	2
assemblies	1.8
assembly	1.8
assert	1.2
asserted	1.4
assertive	1.4
assessing	1.2
assessment	1.4
assessors	1.4
assets	1.6
assign	1.4
assigned	1.4
assignment	2.4
assignments	2.4
assist	1.6
assistance	1.6
assistant	2.4
assistants	2.4
associate	1.8
associated	1.8
associates	2
association	1.8
associations	1.6
assume	1
assumed	1
assuming	1.2
assumption	1.2
assumptions	1.2
assurance	1.4
assure	1.6
assured	1.6
assuring	2
astronomy	2.4
at	1
ate	2.2
athletic	2.6
atlantic	2.6
atlas	3
atmosphere	2.6
atom	2.4
atoms	2.4
attach	1.8
attache	1.2
attached	2.2
attack	2.8
attacked	2.4
attacks	2.6
attain	1.2
attempt	1.2
attempted	1.4
attempting	1.6
attempts	1.6
attend	1.6
attendance	2
attendant	2
attended	2
attending	1.8
attention	2
attic	3
attitude	2
attitudes	2
attorney	2.8
attract	1.8
attracted	2
attraction	2.4
attractive	2.6
attributed	1.4
attributes	1.6
audience	2.8
audiences	2.8
auditorium	3
august	2.8
aunt	3
aura	1.2
auspicious	1.2
authentic	1.6
author	2.4
authorities	2.8
authority	1.8
authorized	1.6
authors	2.6
auto	2.6
automatic	1.2
automatically	1.6
automobile	3
automobiles	3
autonomy	1.4
autumn	3
availability	1.2
available	1.6
avenue	2.4
average	1.8
averaged	1.4
averages	1.6
avert	1.2
avocado	3
avoid	2
avoided	2.4
avoiding	2.2
awake	2.8
award	3
awarded	2.6
awards	2.6
aware	1.6
awareness	1.8
away	2.2
awful	2
awfully	1.4
awkward	1.8
awoke	2
axis	2.4
aye	1
babies	3
baby	3
babysit	2.2
babysitter	3
babysitting	2.2
back	2.6
backed	1.6
background	2.6
backs	2.4
backward	2.6
bacon	2.8
bacterial	2.4
bad	2.2
badger	2.6
badgers	3
badly	1.4
bag	3
bags	3
baiting	2.4
bake	3
baker	3
balance	2.2
balanced	2.4
ball	3
ballet	2.8
ballistic	2.2
balloon	3
ballot	2.4
balls	2.8
baloney	2.6
bananas	3
band	2.6
bandied	1.4
bands	2.6
bank	3
bankers	2.8
banks	3
baptist	1.8
baptized	2.4
bar	3
barbecue	3
barbed	2.2
bare	3
barely	1.4
bargaining	2.4
barged	1.4
bark	3
barked	2.2
barn	3
barometer	2.8
baroque	1
barrel	2.8
barriers	2.4
bars	3
